LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
4.003723e+07,-75.355
4.007538e+07,-75.7655
4.011353e+07,-75.4732
4.015167e+07,-75.4035
4.018982e+07,-75.4195
4.022797e+07,-75.4081
4.026611e+07,-75.3281
4.030426e+07,-75.2827
4.034241e+07,-75.1621
4.038055e+07,-75.2282
4.04187e+07,-75.6244
4.045685e+07,-75.8675
4.0495e+07,-76.136
4.053314e+07,-75.7127
4.057129e+07,-75.23
4.060944e+07,-75.8411
4.064758e+07,-76.0289
4.068573e+07,-75.6741
4.072388e+07,-75.753
4.076202e+07,-76.1628
4.080017e+07,-76.4593
4.083832e+07,-76.5106
4.087646e+07,-76.3557
4.091461e+07,-75.9135
4.095276e+07,-76.1775
4.099091e+07,-76.1852
4.102905e+07,-75.7494
4.10672e+07,-75.7885
4.110535e+07,-76.1975
4.114349e+07,-76.2081
4.118164e+07,-76.7639
4.121979e+07,-76.1558
4.125793e+07,-76.28
4.129608e+07,-76.5644
4.133423e+07,-76.5757
4.137238e+07,-76.2821
4.141052e+07,-76.039
4.144867e+07,-76.399
4.148682e+07,-77.0019
4.152496e+07,-77.4447
4.156311e+07,-77.3323
4.160126e+07,-77.2404
4.16394e+07,-76.6856
4.167755e+07,-76.7713
4.17157e+07,-77.0212
4.175385e+07,-76.761
4.179199e+07,-77.011
4.183014e+07,-76.9021
4.186829e+07,-76.9152
4.190643e+07,-77.6034
4.194458e+07,-77.4649
4.198273e+07,-77.2907
4.202087e+07,-77.7629
4.205902e+07,-77.6433
4.209717e+07,-77.4893
4.213531e+07,-77.9979
4.217346e+07,-77.9468
4.221161e+07,-77.8484
4.224976e+07,-78.0573
4.22879e+07,-78.4029
4.232605e+07,-78.4338
4.23642e+07,-78.6073
4.240234e+07,-78.4703
4.244049e+07,-78.4693
4.247864e+07,-78.7447
4.251678e+07,-78.3046
4.255493e+07,-78.4307
4.259308e+07,-78.9951
4.263123e+07,-78.4485
4.266937e+07,-78.1527
4.270752e+07,-78.8981
4.274567e+07,-78.9747
4.278381e+07,-79.4509
4.282196e+07,-79.3947
4.286011e+07,-79.0194
4.289825e+07,-79.1955
4.29364e+07,-79.0805
4.297455e+07,-79.4473
4.30127e+07,-79.7504
4.305084e+07,-79.7524
4.308899e+07,-79.5468
4.312714e+07,-79.6805
4.316528e+07,-79.8183
4.320343e+07,-79.7849
4.324158e+07,-79.4919
4.327972e+07,-79.991
4.331787e+07,-80.2048
4.335602e+07,-80.2773
4.339417e+07,-80.1175
4.343231e+07,-80.0908
4.347046e+07,-80.6856
4.350861e+07,-80.8213
4.354675e+07,-80.4543
4.35849e+07,-80.6548
4.362305e+07,-80.817
4.366119e+07,-80.607
4.369934e+07,-80.659
4.373749e+07,-80.9543
4.377563e+07,-81.6611
4.381378e+07,-81.7045
4.385193e+07,-82.1543
4.389008e+07,-81.9771
4.392822e+07,-81.7991
4.396637e+07,-81.4165
4.400452e+07,-81.7654
4.404266e+07,-82.0895
4.408081e+07,-81.975
4.411896e+07,-82.3407
4.41571e+07,-82.6246
4.419525e+07,-82.3039
4.42334e+07,-82.1978
4.427155e+07,-82.3781
4.430969e+07,-82.4027
4.434784e+07,-82.5317
4.438599e+07,-83.1227
4.442413e+07,-83.1781
4.446228e+07,-83.2312
4.450043e+07,-83.148
4.453857e+07,-83.0835
4.457672e+07,-83.3758
4.461487e+07,-83.4874
4.465302e+07,-83.5427
4.469116e+07,-83.9443
4.472931e+07,-84.0209
4.476746e+07,-83.9431
4.48056e+07,-84.464
4.484375e+07,-84.6417
4.48819e+07,-84.3509
4.492004e+07,-84.2437
4.495819e+07,-84.4382
4.499634e+07,-84.7022
4.503448e+07,-84.822
4.507263e+07,-84.666
4.511078e+07,-84.6193
4.514893e+07,-84.9427
4.518707e+07,-84.5096
4.522522e+07,-84.3453
4.526337e+07,-84.8892
4.530151e+07,-85.6877
4.533966e+07,-85.0863
4.537781e+07,-85.0069
4.541595e+07,-84.7651
4.54541e+07,-84.6541
4.549225e+07,-84.9524
4.55304e+07,-85.0141
4.556854e+07,-85.111
4.560669e+07,-85.3565
4.564484e+07,-84.9459
4.568298e+07,-84.5868
4.572113e+07,-84.8462
4.575928e+07,-84.8186
4.579742e+07,-84.4071
4.583557e+07,-84.4472
4.587372e+07,-84.9205
4.591187e+07,-84.7431
4.595001e+07,-84.287
4.598816e+07,-84.5873
4.602631e+07,-84.4911
4.606445e+07,-84.258
4.61026e+07,-84.3106
4.614075e+07,-84.1878
4.617889e+07,-84.2237
4.621704e+07,-83.928
4.625519e+07,-83.9433
4.629333e+07,-83.6679
4.633148e+07,-83.8162
4.636963e+07,-83.6754
4.640778e+07,-83.3328
4.644592e+07,-83.1415
4.648407e+07,-83.1516
4.652222e+07,-82.8067
4.656036e+07,-83.3712
4.659851e+07,-82.3796
4.663666e+07,-81.4792
4.66748e+07,-82.1903
4.671295e+07,-82.8627
4.67511e+07,-83.0254
4.678925e+07,-82.3711
4.682739e+07,-81.8337
4.686554e+07,-81.7129
4.690369e+07,-81.6655
4.694183e+07,-81.5618
4.697998e+07,-81.166
4.701813e+07,-80.9654
4.705627e+07,-81.0285
4.709442e+07,-80.6571
4.713257e+07,-80.5914
4.717072e+07,-80.8197
4.720886e+07,-80.4063
4.724701e+07,-80.2157
4.728516e+07,-80.0563
4.73233e+07,-80.1247
4.736145e+07,-80.0279
4.73996e+07,-80.4572
4.743774e+07,-80.5558
4.747589e+07,-80.004
4.751404e+07,-79.7709
4.755219e+07,-79.7816
4.759033e+07,-79.9468
4.762848e+07,-79.8544
4.766663e+07,-79.439
4.770477e+07,-79.1459
4.774292e+07,-79.1446
4.778107e+07,-79.0559
4.781921e+07,-78.9008
4.785736e+07,-78.8848
4.789551e+07,-79.2619
4.793365e+07,-78.754
4.79718e+07,-78.0176
4.800995e+07,-78.0161
4.80481e+07,-78.2188
4.808624e+07,-78.9434
4.812439e+07,-78.1679
4.816254e+07,-77.5338
4.820068e+07,-77.6805
4.823883e+07,-77.5611
4.827698e+07,-77.528
4.831512e+07,-77.9664
4.835327e+07,-77.7031
4.839142e+07,-77.21
4.842957e+07,-77.1896
4.846771e+07,-77.0699
4.850586e+07,-76.9057
4.854401e+07,-77.5033
4.858215e+07,-77.3054
4.86203e+07,-76.924
4.865845e+07,-76.9169
4.869659e+07,-76.8003
4.873474e+07,-76.4123
4.877289e+07,-76.0464
4.881104e+07,-76.2154
4.884918e+07,-76.0289
4.888733e+07,-75.8523
4.892548e+07,-75.9339
4.896362e+07,-75.6538
4.900177e+07,-75.3363
4.903992e+07,-76.0805
4.907806e+07,-76.236
4.911621e+07,-76.2513
4.915436e+07,-76.1537
4.91925e+07,-75.6538
4.923065e+07,-75.511
4.92688e+07,-75.4044
4.930695e+07,-75.3763
4.934509e+07,-75.3733
4.938324e+07,-75.4921
4.942139e+07,-75.2754
4.945953e+07,-75.6384
4.949768e+07,-75.7019
4.953583e+07,-74.9631
4.957397e+07,-74.8655
4.961212e+07,-75.3886
4.965027e+07,-75.4017
4.968842e+07,-74.5215
4.972656e+07,-74.596
4.976471e+07,-74.7902
4.980286e+07,-74.6457
4.9841e+07,-74.7379
4.987915e+07,-74.3141
4.99173e+07,-73.9382
4.995544e+07,-73.8357
4.999359e+07,-73.8769
5.003174e+07,-74.5781
5.006989e+07,-74.4958
5.010803e+07,-74.1073
5.014618e+07,-73.7237
5.018433e+07,-73.6776
5.022247e+07,-73.9118
5.026062e+07,-73.9983
5.029877e+07,-73.6343
5.033691e+07,-73.4118
5.037506e+07,-73.5764
5.041321e+07,-72.8992
5.045135e+07,-72.6875
5.04895e+07,-73.5807
5.052765e+07,-73.571
5.05658e+07,-73.7417
5.060394e+07,-73.9951
5.064209e+07,-73.3256
5.068024e+07,-73.1252
5.071838e+07,-73.1825
5.075653e+07,-73.3445
5.079468e+07,-73.6644
5.083282e+07,-73.3364
5.087097e+07,-73.056
5.090912e+07,-73.1598
5.094727e+07,-72.8647
5.098541e+07,-72.7147
5.102356e+07,-72.725
5.106171e+07,-73.075
5.109985e+07,-72.8641
5.1138e+07,-72.3453
5.117615e+07,-72.4574
5.121429e+07,-72.3044
5.125244e+07,-72.4096
5.129059e+07,-72.6238
5.132874e+07,-72.2585
5.136688e+07,-71.7613
5.140503e+07,-72.0935
5.144318e+07,-72.4706
5.148132e+07,-72.8266
5.151947e+07,-72.7407
5.155762e+07,-72.0458
5.159576e+07,-71.9597
5.163391e+07,-71.77
